"ID","Date","Age","Height","HomeTown","Name","Prev","RStreak","Weight"
2352,"2017-02-06",32,160,"Clinton, Maryland United States","Angela Hill",2,0,52
2214,"2017-02-06",31,180,"Azle, Texas USA","Chas Skelly",7,1,65
2345,"2017-02-06",28,167,"Tasmania Australia","Bec Rawlings",3,0,52
1622,"2017-02-06",30,172,"Page, Arizona United States","Chris Gruetzemacher",1,1,70
1984,"2017-02-06",30,190,"Olney, Texas USA","James Vick",5,0,70
2790,"2017-02-06",27,185,"Los Angeles, California  United States","Khalil Rountree Jr.",2,0,93
1499,"2017-02-06",33,190,"Immokalee, Florida United States","Ovince Saint Preux",8,0,93
2857,"2017-02-06",21,175,"Campinas, Sao Paulo Brazil","Ricardo Ramos",0,0,61
2210,"2017-02-06",26,165,"Kanagawa Japan","Michinori Tanaka",4,0,61
2851,"2017-02-06",27,182,"Cape Coral, Florida United States","Niko Price",1,1,77
2215,"2017-02-06",36,195,"Kent, Washington United States","Anthony Hamilton",5,0,118
1543,"2017-01-17",32,180,"Ogden, UT USA","Court McGee",3,1,77
2304,"2017-01-17",36,167,"Phoenix, Arizona USA","Frankie Saenz",5,0,61
2710,"2017-01-17",31,170,"San Diego, California United States","Jocelyn Jones-Lybarger",2,0,52
2767,"2017-01-17",32,187,"Russia","Dmitrii Smoliakov",1,0,114
2841,"2017-01-17",29,182,"South Berwick Maine","Devin Powell",0,0,70
2810,"2017-01-17",38,190,"Copenhagen Denmark","Joachim Christensen",1,0,93
361,"2017-01-17",38,175,"Kailua, Hawaii USA","BJ Penn",1,0,65
2216,"2017-01-17",28,182,"Columbia, Missouri USA","Alex White",4,1,65
2854,"2017-01-17",29,172,"Kalamazoo Michigan ","Drakkar Klose",0,0,70
502,"2017-01-17",33,187,"Fort Lauderdale, Florida USA","Ben Saunders",4,0,77
2159,"2017-01-17",27,182,"Palos Heights, Illinois USA","Tony Martin",4,1,70
2328,"2017-01-17",31,165,"Weston, Florida USA","Nina Ansaroff",2,0,52
2118,"2017-01-17",23,167,"Milwaukee, Wisconsin USA","Sergio Pettis",6,2,56
2748,"2017-01-17",34,167,"Rio de Janeiro Brazil","Augusto Mendes",1,0,61
2761,"2017-01-17",31,187,"Avignon France","Cyril Asker",1,0,112
2787,"2017-01-17",27,193,"D'Iberville, Mississippi USA","Chase Sherman",1,0,113
524,"2017-01-17",32,177,"Brockton, Massachusetts USA","Joe Lauzon",6,0,70
2155,"2017-01-17",39,187,"Moscow Russia","Aleksei Oleinik",1,0,109
2752,"2017-01-17",36,180,"Odzaci Serbia","Bojan Mihajlovic",1,0,106
2233,"2017-01-17",26,190,"Pribram Czech Republic","Viktor Pesta",4,0,109
2007,"2017-01-17",33,167,"Phoenix, Arizona USA","John Moraga",6,0,56
2484,"2017-01-17",25,175,"Tychy Poland","Marcin Held",1,0,70
2106,"2017-01-17",33,195,"Birmingham, Alabama USA","Walt Harris",3,0,113
2362,"2017-01-17",24,180,"Parral, Chihuahua Mexico","Yair Rodriguez",5,5,65
2469,"2017-01-02",29,180,"Tres Rios, Rio de Janeiro Brazil","Alex Oliveira",7,2,77
2130,"2017-01-02",29,175,"Santiago Dominican Republic","Alex Garcia",4,0,77
1966,"2017-01-02",26,160,"Paranagua, Parana Brazil","John Lineker",7,6,61
1828,"2017-01-02",30,170,"Riverside, California USA","Ronda Rousey",5,0,61
2369,"2017-01-02",25,172,"Uhrichsville, Ohio USA","Cody Garbrandt",4,4,61
2851,"2017-01-02",27,182,"Cape Coral, Florida United States","Niko Price",0,0,77
455,"2017-01-02",35,187,"Suwon South Korea","Dong Hyun Kim",3,1,77
2166,"2017-01-02",25,175,"Honolulu, HI USA","Louis Smolka",7,0,56
942,"2017-01-02",30,177,"Brussels Belgium","Tarec Saffiedine",4,0,77
2217,"2017-01-02",23,162,"Tucson, Arizona United States","Ray Borg",5,0,56
1952,"2017-01-02",33,187,"Wilburton, Oklahoma USA","Tim Means",8,2,77
2047,"2017-01-02",29,190,"Brooklyn, New York USA","Neil Magny",11,0,77
1057,"2017-01-02",32,172,"San Diego, California USA","Dominick Cruz",3,3,61
870,"2017-01-02",41,182,"Dresden, Tennessee USA","Mike Pyle",5,0,77
1331,"2017-01-02",31,187,"Denver, Colorado USA","Brandon Thatch",3,0,77
1905,"2017-01-02",31,167,"Angels Camp, California USA","TJ Dillashaw",6,1,61
