"Fight_ID","ID","Event_ID","Date","winner","winby","corner","Last_round","Max_round","RStreak","Height","Weight","Age","HomeTown"
6516,2302,811,"2017-03-18","red","DEC","blue",3,3,0,190,84,28,"Yorkshire England"
6517,2085,811,"2017-03-18","blue","DEC","blue",3,3,0,185,93,37,"Xapuri, Acre Brazil"
6519,2009,811,"2017-03-18","red","KO/TKO","red",1,3,1,185,93,37,"Sacramento, California United States"
6514,2604,811,"2017-03-18","red","KO/TKO","blue",1,3,1,185,70,29,"Turku Finland"
6518,1918,811,"2017-03-18","red","DEC","blue",3,3,1,180,70,38,"Tehran Iran"
6517,2828,811,"2017-03-18","blue","DEC","red",3,3,0,177,93,26,"London England"
6520,2879,811,"2017-03-18","red","DEC","blue",3,3,0,180,61,22,"Pribram Czech Republic"
6521,2083,811,"2017-03-18","blue","DEC","red",3,3,0,182,112,34,"Sokolow, Podlaski Poland"
6512,1170,811,"2017-03-18","blue","KO/TKO","red",3,3,0,167,61,38,"East London England"
6518,2426,811,"2017-03-18","red","DEC","red",3,3,1,177,70,29,"Donegal Ireland"
6530,2570,811,"2017-03-18","red","DEC","red",3,3,1,172,65,23,"Ipswich England"
6514,2822,811,"2017-03-18","red","KO/TKO","red",1,3,2,177,70,24,"Democratic Republic Congo"
6520,2811,811,"2017-03-18","red","DEC","red",3,3,0,170,63,35,"Karlstad Sweden"
6495,1742,810,"2017-03-13","red","KO/TKO","blue",3,3,1,190,93,31,"Levittown, New York United States"
6510,2133,810,"2017-03-13","draw","0","red",3,3,1,165,61,33,"Campina Grande, Paraiba Brazil"
6585,2876,810,"2017-03-13","blue","KO/TKO","blue",1,3,0,182,84,25,"Belo Horizonte, MG Brazil"
6538,2074,810,"2017-03-12","red","SUB","red",1,3,3,167,70,35,"Belem, Para Brazil"
6525,2807,810,"2017-03-12","blue","DEC","blue",3,3,1,180,65,24,"Surrey, British Columbia Canada"
6537,2217,810,"2017-03-12","blue","DEC","blue",3,3,1,162,56,23,"Tucson, Arizona United States"
6543,2157,810,"2017-03-13","blue","SUB","blue",2,3,3,175,70,24,"Detroit, Michigan United States"
6473,2070,810,"2017-03-13","blue","KO/TKO","blue",1,5,2,175,84,25,"San Jose, California United States"
6535,1952,810,"2017-03-13","red","SUB","blue",2,3,0,187,77,33,"Wilburton, Oklahoma USA"
6473,295,810,"2017-03-13","blue","KO/TKO","red",1,5,0,182,84,39,"Rio de Janeiro Brazil"
6538,407,810,"2017-03-12","red","SUB","blue",1,3,0,177,77,36,"Salt Lake City, Utah United States"
6539,2877,810,"2017-03-12","red","DEC","blue",3,3,0,172,77,30,"Rio de Janeiro Brazil"
6537,2011,810,"2017-03-12","blue","DEC","red",3,3,1,165,56,31,"Rio Grande do Norte Brazil"
6562,2309,810,"2017-03-13","blue","DEC","blue",3,3,2,167,61,30,"Porterville, California United States"
6539,1992,810,"2017-03-12","red","DEC","red",3,3,1,182,77,34,"São Paulo Brasil"
6543,1997,810,"2017-03-13","blue","SUB","red",2,3,7,175,70,38,"Amarante, Piaui Brazil"
6495,457,810,"2017-03-13","red","KO/TKO","red",3,3,1,185,93,35,"Curitiba Brazil"
6562,1044,810,"2017-03-13","blue","DEC","red",3,3,4,167,61,32,"Brasilia Brazil"
6510,2376,810,"2017-03-13","draw","0","blue",3,3,1,167,61,39,"Tulare, California United States"
6525,1994,810,"2017-03-12","blue","DEC","red",3,3,0,170,65,33,"Quixada, Ceara Brazil"
6535,2469,810,"2017-03-13","red","SUB","red",2,3,0,180,77,29,"Tres Rios, Rio de Janeiro Brazil"
6474,2168,810,"2017-03-13","red","KO/TKO","blue",2,3,2,177,70,27,"Goetapeh Iran"
6585,2428,810,"2017-03-13","blue","KO/TKO","red",1,3,0,185,84,34,"Vereeniging, Gauteng South Africa"
6474,1657,810,"2017-03-13","red","KO/TKO","red",2,3,2,180,70,31,"Rio de Janeiro Brazil"
6494,2827,809,"2017-03-06","red","DEC","red",3,3,0,187,109,33,"Taunton  England"
6563,387,809,"2017-03-06","blue","DEC","red",3,3,0,182,84,37,"Niagara Falls, New York United States"
6560,2840,809,"2017-03-06","red","KO/TKO","red",1,3,1,190,93,25,"Sydeny Australia "
6497,1944,809,"2017-03-06","red","DEC","blue",5,5,0,182,77,34,"Simpsonville, South Carolina United States"
6494,2875,809,"2017-03-06","red","DEC","blue",3,3,0,0,111,26,"Spokane, Washington United States"
6575,2792,809,"2017-03-06","blue","SUB","red",1,3,1,160,52,25,"Lansing, Michigan United States"
6509,2734,809,"2017-03-06","blue","DEC","blue",3,3,2,175,70,28,"Järfälla Sweden"
6493,2213,809,"2017-03-06","blue","KO/TKO","red",3,3,4,172,65,26,"Srebrenica Bosnia"
6559,1706,809,"2017-03-06","red","SUB","red",2,3,1,175,61,36,"Marajo Brazil"
6570,2658,809,"2017-03-06","red","KO/TKO","blue",3,3,2,187,110,23,"Rio de Janeiro Brazil"
6576,2874,809,"2017-03-06","red","DEC","blue",3,3,0,175,61,28,"0"
